condition,source_instance,family,dimensions,first_component,second_component,mean_pair_interaction,background_count
dry_bean,dry_bean,clustering,4,A,D,-0.017364309631964225,4
dry_bean,dry_bean,clustering,4,B,C,0.00768785676889544,4
dry_bean,dry_bean,clustering,4,B,D,0.01768764405280354,4
dry_bean,dry_bean,clustering,4,C,D,0.01385227288369345,4
elnino,elnino,forecasting,4,A,B,0.0014259720617543492,4
elnino,elnino,forecasting,4,A,C,0.00024318363929040632,4
elnino,elnino,forecasting,4,A,D,-0.00021092015500059902,4
elnino,elnino,forecasting,4,B,C,-0.0004570590716165557,4
elnino,elnino,forecasting,4,B,D,-0.00582318917293248,4
elnino,elnino,forecasting,4,C,D,-0.0006425436683789865,4
energy_efficiency,energy_efficiency,regression,4,A,B,-0.00480142665771921,4
energy_efficiency,energy_efficiency,regression,4,A,C,-0.006172415024964906,4
energy_efficiency,energy_efficiency,regression,4,A,D,0.0009102791361108586,4
energy_efficiency,energy_efficiency,regression,4,B,C,-0.012472098041662327,4
energy_efficiency,energy_efficiency,regression,4,B,D,0.0031851257978731673,4
energy_efficiency,energy_efficiency,regression,4,C,D,-0.0016040633984985564,4
glass,glass,clustering,4,A,B,0.04387006158251522,4
glass,glass,clustering,4,A,C,-0.0035401836249734364,4
glass,glass,clustering,4,A,D,-0.00651914237673118,4
glass,glass,clustering,4,B,C,0.06578162807118942,4
glass,glass,clustering,4,B,D,-0.010754429217271155,4
glass,glass,clustering,4,C,D,0.0028598306378902483,4
hubble_deep_field,hubble_deep_field,image_restoration,4,A,B,-0.0645653640804185,4
hubble_deep_field,hubble_deep_field,image_restoration,4,A,C,-0.06319137829609565,4
hubble_deep_field,hubble_deep_field,image_restoration,4,A,D,0.01778147087279429,4
hubble_deep_field,hubble_deep_field,image_restoration,4,B,C,-0.09519285461590919,4
hubble_deep_field,hubble_deep_field,image_restoration,4,B,D,0.029801221750222415,4
hubble_deep_field,hubble_deep_field,image_restoration,4,C,D,0.02048155156651263,4
ionosphere,ionosphere,classification,4,A,B,0.006410256410256415,4
ionosphere,ionosphere,classification,4,A,C,0.011363636363636381,4
ionosphere,ionosphere,classification,4,A,D,0.0011655011655011538,4
ionosphere,ionosphere,classification,4,B,C,-0.0014568764568764492,4
ionosphere,ionosphere,classification,4,B,D,-0.00641025641025636,4
ionosphere,ionosphere,classification,4,C,D,0.03467365967365968,4
nile,nile,forecasting,4,A,B,0.003761925916179687,4
nile,nile,forecasting,4,A,C,-0.005525842027853833,4
nile,nile,forecasting,4,A,D,0.014690821672717624,4
nile,nile,forecasting,4,B,C,-0.00016944307940719439,4
nile,nile,forecasting,4,B,D,0.0032257109266956574,4
nile,nile,forecasting,4,C,D,-0.0026361275069773926,4
rocket,rocket,image_restoration,4,A,B,-0.09838438486406055,4
rocket,rocket,image_restoration,4,A,C,-0.10679985680698319,4
rocket,rocket,image_restoration,4,A,D,0.01956916521302378,4
rocket,rocket,image_restoration,4,B,C,-0.12829157465737195,4
rocket,rocket,image_restoration,4,B,D,0.028932453919835413,4
rocket,rocket,image_restoration,4,C,D,0.030697977661357748,4
scifact,scifact,retrieval,4,A,B,-0.015599623596466022,4
scifact,scifact,retrieval,4,A,C,-0.016970442877422748,4
scifact,scifact,retrieval,4,A,D,-0.018982106912824953,4
scifact,scifact,retrieval,4,B,C,-0.0063839732782719205,4
scifact,scifact,retrieval,4,B,D,-0.13165957740936254,4
scifact,scifact,retrieval,4,C,D,-0.04503714440013443,4
seeds,seeds,clustering,4,A,B,0.1983711621700437,4
seeds,seeds,clustering,4,A,C,-0.01066295766337555,4
seeds,seeds,clustering,4,A,D,0.003679767126550715,4
seeds,seeds,clustering,4,B,C,-0.005391547457374191,4
seeds,seeds,clustering,4,B,D,0.006083813219858791,4
seeds,seeds,clustering,4,C,D,0.0007892269753724812,4
spambase,spambase,classification,4,A,B,0.01208930626765728,4
spambase,spambase,classification,4,A,C,-0.0071335147012660804,4
spambase,spambase,classification,4,A,D,-0.00016807052422304625,4
spambase,spambase,classification,4,B,C,-0.0026531599874437817,4
spambase,spambase,classification,4,B,D,0.011241759966516746,4
spambase,spambase,classification,4,C,D,0.0023242126190226864,4
sunspots,sunspots,forecasting,4,A,B,-0.007415410631032071,4
sunspots,sunspots,forecasting,4,A,C,-0.010479600372265085,4
sunspots,sunspots,forecasting,4,A,D,-0.0010477760455903096,4
sunspots,sunspots,forecasting,4,B,C,0.029464524697453254,4
sunspots,sunspots,forecasting,4,B,D,-0.0033489704203766846,4
sunspots,sunspots,forecasting,4,C,D,-0.01447599329185062,4
wine,wine,clustering,4,A,B,-0.44159763733639107,4
wine,wine,clustering,4,A,C,0.001465825710036367,4
wine,wine,clustering,4,A,D,0.017024940273029837,4
wine,wine,clustering,4,B,C,-0.002157657268456431,4
wine,wine,clustering,4,B,D,-0.0032901738800748814,4
wine,wine,clustering,4,C,D,-0.024453500974660064,4
yacht,yacht,regression,4,A,B,0.06227712179745684,4
yacht,yacht,regression,4,A,C,0.0524907300272037,4
yacht,yacht,regression,4,A,D,-0.026271246884734617,4
yacht,yacht,regression,4,B,C,0.021457160658938462,4
yacht,yacht,regression,4,B,D,0.05249425304155067,4
yacht,yacht,regression,4,C,D,0.04130116628837763,4
spambase__d6,spambase,classification,6,A,B,-0.10682655710473994,16
spambase__d6,spambase,classification,6,A,C,-0.005308036648529885,16
spambase__d6,spambase,classification,6,A,D,-0.002385440645600048,16
spambase__d6,spambase,classification,6,A,E,0.004141843020822461,16
spambase__d6,spambase,classification,6,A,F,0.11436406233650727,16
spambase__d6,spambase,classification,6,B,C,-0.0032287361358166733,16
spambase__d6,spambase,classification,6,B,D,0.006374826697708488,16
spambase__d6,spambase,classification,6,B,E,-0.004040968007743007,16
spambase__d6,spambase,classification,6,B,F,0.11973643337344357,16
spambase__d6,spambase,classification,6,C,D,0.002303203803494802,16
spambase__d6,spambase,classification,6,C,E,0.0012251327560950237,16
spambase__d6,spambase,classification,6,C,F,0.00198079614418753,16
spambase__d6,spambase,classification,6,D,E,0.0003553514439677552,16
spambase__d6,spambase,classification,6,D,F,0.005022414852987392,16
spambase__d6,spambase,classification,6,E,F,0.005099256435073751,16
concrete__d6,concrete,regression,6,A,B,0.0009097577479330182,16
concrete__d6,concrete,regression,6,A,C,-0.006663570174928454,16
concrete__d6,concrete,regression,6,A,D,0.0007795105094688531,16
concrete__d6,concrete,regression,6,A,E,0.0044820919378954355,16
concrete__d6,concrete,regression,6,A,F,-0.000305108566693843,16
concrete__d6,concrete,regression,6,B,C,0.003947641499152832,16
concrete__d6,concrete,regression,6,B,D,0.0010915934520145942,16
concrete__d6,concrete,regression,6,B,E,0.0005368536108769917,16
concrete__d6,concrete,regression,6,B,F,-0.0006027448109833522,16
concrete__d6,concrete,regression,6,C,D,0.002583392498742121,16
concrete__d6,concrete,regression,6,C,E,-0.015317466745162128,16
concrete__d6,concrete,regression,6,C,F,0.0003788900986178845,16
concrete__d6,concrete,regression,6,D,E,0.00046515357832760396,16
concrete__d6,concrete,regression,6,D,F,-0.00047392933826095884,16
concrete__d6,concrete,regression,6,E,F,0.00047458148085308127,16
wine__d6,wine,clustering,6,A,B,-0.4886155734270925,16
wine__d6,wine,clustering,6,A,C,-0.05711022497739259,16
wine__d6,wine,clustering,6,A,D,0.04034757488667329,16
wine__d6,wine,clustering,6,A,E,-0.05621290219848455,16
wine__d6,wine,clustering,6,A,F,0.06574062047850819,16
wine__d6,wine,clustering,6,B,C,-0.12200533507857174,16
wine__d6,wine,clustering,6,B,D,0.12745176051947607,16
wine__d6,wine,clustering,6,B,E,-0.1192962708104173,16
wine__d6,wine,clustering,6,B,F,-0.04008994107741038,16
wine__d6,wine,clustering,6,C,D,0.11325239484639495,16
wine__d6,wine,clustering,6,C,E,-0.12512881972979945,16
wine__d6,wine,clustering,6,C,F,-0.028896716195543348,16
wine__d6,wine,clustering,6,D,E,0.12710938096765123,16
wine__d6,wine,clustering,6,D,F,0.04802907971701816,16
wine__d6,wine,clustering,6,E,F,-0.029794038974451403,16
co2__d6,co2,forecasting,6,A,B,0.002092678009116354,16
co2__d6,co2,forecasting,6,A,C,0.0009158237331786459,16
co2__d6,co2,forecasting,6,A,D,-0.00270161010802452,16
co2__d6,co2,forecasting,6,A,E,-0.0012732795244636066,16
co2__d6,co2,forecasting,6,A,F,0.003793926336048907,16
co2__d6,co2,forecasting,6,B,C,-5.8223872893940765e-05,16
co2__d6,co2,forecasting,6,B,D,0.0012849971957006115,16
co2__d6,co2,forecasting,6,B,E,0.0014923229626939635,16
co2__d6,co2,forecasting,6,B,F,0.0007600595657977147,16
co2__d6,co2,forecasting,6,C,D,0.00039883227082004175,16
co2__d6,co2,forecasting,6,C,E,0.0001159579372291622,16
co2__d6,co2,forecasting,6,C,F,-0.0007216076784300404,16
co2__d6,co2,forecasting,6,D,E,-0.0045047017033601686,16
co2__d6,co2,forecasting,6,D,F,0.01007070308073394,16
co2__d6,co2,forecasting,6,E,F,0.005716091123882959,16
astronaut__d6,astronaut,image_restoration,6,A,B,-0.08081133247052003,16
astronaut__d6,astronaut,image_restoration,6,A,C,-0.081257273398295,16
astronaut__d6,astronaut,image_restoration,6,A,D,0.0214396410104254,16
astronaut__d6,astronaut,image_restoration,6,A,E,0.010137926440590063,16
astronaut__d6,astronaut,image_restoration,6,A,F,-0.030476437345472777,16
astronaut__d6,astronaut,image_restoration,6,B,C,-0.10846364212029101,16
astronaut__d6,astronaut,image_restoration,6,B,D,0.033015724047673396,16
astronaut__d6,astronaut,image_restoration,6,B,E,-0.05932943072028706,16
astronaut__d6,astronaut,image_restoration,6,B,F,0.0032300770081894817,16
astronaut__d6,astronaut,image_restoration,6,C,D,0.02404423017713094,16
astronaut__d6,astronaut,image_restoration,6,C,E,0.0034745291380634744,16
astronaut__d6,astronaut,image_restoration,6,C,F,-0.0005863561247371266,16
astronaut__d6,astronaut,image_restoration,6,D,E,-0.0008100523998612261,16
astronaut__d6,astronaut,image_restoration,6,D,F,0.002201579053676385,16
astronaut__d6,astronaut,image_restoration,6,E,F,0.004961875451355326,16
scifact__d6,scifact,retrieval,6,A,B,-0.003494791392484261,16
scifact__d6,scifact,retrieval,6,A,C,-0.010962873731526896,16
scifact__d6,scifact,retrieval,6,A,D,-0.05732376363518108,16
scifact__d6,scifact,retrieval,6,A,E,-0.030973938249465868,16
scifact__d6,scifact,retrieval,6,A,F,0.00679561904011541,16
scifact__d6,scifact,retrieval,6,B,C,-0.014066730519283362,16
scifact__d6,scifact,retrieval,6,B,D,-0.1402594619164584,16
scifact__d6,scifact,retrieval,6,B,E,-0.05014672173558479,16
scifact__d6,scifact,retrieval,6,B,F,0.02931049573380114,16
scifact__d6,scifact,retrieval,6,C,D,-0.051070000606217344,16
scifact__d6,scifact,retrieval,6,C,E,-0.14669503901460135,16
scifact__d6,scifact,retrieval,6,C,F,0.06310369513172477,16
scifact__d6,scifact,retrieval,6,D,E,-0.011614105703801059,16
scifact__d6,scifact,retrieval,6,D,F,0.036800601567727964,16
scifact__d6,scifact,retrieval,6,E,F,0.11188721030210323,16
mitdb_100__d6,mitdb_100,beat_detection,6,A,B,-0.0020997952575780576,16
mitdb_100__d6,mitdb_100,beat_detection,6,A,C,-0.008452247691924222,16
mitdb_100__d6,mitdb_100,beat_detection,6,A,D,0.00023862676320407505,16
mitdb_100__d6,mitdb_100,beat_detection,6,A,E,0.0014519363699809218,16
mitdb_100__d6,mitdb_100,beat_detection,6,A,F,-0.00474872800070858,16
mitdb_100__d6,mitdb_100,beat_detection,6,B,C,-0.008681150884213423,16
mitdb_100__d6,mitdb_100,beat_detection,6,B,D,0.00347957814826437,16
mitdb_100__d6,mitdb_100,beat_detection,6,B,E,-0.003817873141498465,16
mitdb_100__d6,mitdb_100,beat_detection,6,B,F,0.006733768962697603,16
mitdb_100__d6,mitdb_100,beat_detection,6,C,D,0.18700176523140805,16
mitdb_100__d6,mitdb_100,beat_detection,6,C,E,-0.18564949709145712,16
mitdb_100__d6,mitdb_100,beat_detection,6,C,F,0.04288727624233804,16
mitdb_100__d6,mitdb_100,beat_detection,6,D,E,0.1931865280337091,16
mitdb_100__d6,mitdb_100,beat_detection,6,D,F,-0.048413608889233475,16
mitdb_100__d6,mitdb_100,beat_detection,6,E,F,0.04908745346551706,16
mitdb_101__d6,mitdb_101,beat_detection,6,A,B,0.007130131745929653,16
mitdb_101__d6,mitdb_101,beat_detection,6,A,C,-0.3213839740502865,16
mitdb_101__d6,mitdb_101,beat_detection,6,A,D,0.2757434869699483,16
mitdb_101__d6,mitdb_101,beat_detection,6,A,E,-0.006956093461677474,16
mitdb_101__d6,mitdb_101,beat_detection,6,A,F,-0.0019562739483738913,16
mitdb_101__d6,mitdb_101,beat_detection,6,B,C,0.02615303920300416,16
mitdb_101__d6,mitdb_101,beat_detection,6,B,D,-0.022222864935877155,16
mitdb_101__d6,mitdb_101,beat_detection,6,B,E,0.014374920401969023,16
mitdb_101__d6,mitdb_101,beat_detection,6,B,F,-0.017256185945207215,16
mitdb_101__d6,mitdb_101,beat_detection,6,C,D,0.42742039466969595,16
mitdb_101__d6,mitdb_101,beat_detection,6,C,E,-0.20986076413556265,16
mitdb_101__d6,mitdb_101,beat_detection,6,C,F,0.0234505166405841,16
mitdb_101__d6,mitdb_101,beat_detection,6,D,E,0.17522422679758096,16
mitdb_101__d6,mitdb_101,beat_detection,6,D,F,-0.03334170244748281,16
mitdb_101__d6,mitdb_101,beat_detection,6,E,F,0.03326920283420512,16
mitdb_102__d6,mitdb_102,beat_detection,6,A,B,-0.0012258924499990095,16
mitdb_102__d6,mitdb_102,beat_detection,6,A,C,-0.030667807230098487,16
mitdb_102__d6,mitdb_102,beat_detection,6,A,D,0.01857656448965645,16
mitdb_102__d6,mitdb_102,beat_detection,6,A,E,0.0022881649093252562,16
mitdb_102__d6,mitdb_102,beat_detection,6,A,F,0.0010977732026810003,16
mitdb_102__d6,mitdb_102,beat_detection,6,B,C,0.039712582421244445,16
mitdb_102__d6,mitdb_102,beat_detection,6,B,D,0.00021092373720277974,16
mitdb_102__d6,mitdb_102,beat_detection,6,B,E,-0.05138529490218221,16
mitdb_102__d6,mitdb_102,beat_detection,6,B,F,0.002748727793628551,16
mitdb_102__d6,mitdb_102,beat_detection,6,C,D,0.21874620010834356,16
mitdb_102__d6,mitdb_102,beat_detection,6,C,E,-0.07077100606241638,16
mitdb_102__d6,mitdb_102,beat_detection,6,C,F,0.03205458169810999,16
mitdb_102__d6,mitdb_102,beat_detection,6,D,E,0.10989287290986757,16
mitdb_102__d6,mitdb_102,beat_detection,6,D,F,-0.018241072729559278,16
mitdb_102__d6,mitdb_102,beat_detection,6,E,F,0.03871708165694896,16
mitdb_103__d6,mitdb_103,beat_detection,6,A,B,0.0006498991470951093,16
mitdb_103__d6,mitdb_103,beat_detection,6,A,C,-0.08489239281491702,16
mitdb_103__d6,mitdb_103,beat_detection,6,A,D,-0.025343553877599123,16
mitdb_103__d6,mitdb_103,beat_detection,6,A,E,-0.00033132849228823674,16
mitdb_103__d6,mitdb_103,beat_detection,6,A,F,-0.07136730208573594,16
mitdb_103__d6,mitdb_103,beat_detection,6,B,C,0.013495926078248004,16
mitdb_103__d6,mitdb_103,beat_detection,6,B,D,-0.022834808661529704,16
mitdb_103__d6,mitdb_103,beat_detection,6,B,E,0.016783846420494894,16
mitdb_103__d6,mitdb_103,beat_detection,6,B,F,0.022079899447464635,16
mitdb_103__d6,mitdb_103,beat_detection,6,C,D,0.1545565228408227,16
mitdb_103__d6,mitdb_103,beat_detection,6,C,E,-0.1908550671085158,16
mitdb_103__d6,mitdb_103,beat_detection,6,C,F,-0.012011003436239454,16
mitdb_103__d6,mitdb_103,beat_detection,6,D,E,0.229741613789641,16
mitdb_103__d6,mitdb_103,beat_detection,6,D,F,-0.08929984559666597,16
mitdb_103__d6,mitdb_103,beat_detection,6,E,F,0.07183367443496952,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,A,B,-0.056949250288350635,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,A,C,-0.06386966551326415,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,A,D,-0.060409457900807366,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,A,E,-0.034842368319876964,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,A,F,-0.0037004998077662457,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,B,C,-0.05690119184928875,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,B,D,-0.05594002306805073,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,B,E,-0.03825451749327185,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,B,F,0.00168204536716645,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,C,D,-0.06564782775855443,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,C,E,-0.03316032295271056,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,C,F,-0.005094194540561321,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,D,E,-0.03950403690888119,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,D,F,0.0019223375624759856,16
graph_lesmis__d6,graph_lesmis,graph_link_prediction,6,E,F,0.007016532103037272,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,A,B,-0.010588235294117704,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,A,C,-0.021782006920415237,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,A,D,-0.01719723183391003,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,A,E,-0.024446366782006873,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,A,F,0.002820069204152245,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,B,C,-0.013494809688581341,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,B,D,-0.016384083044982692,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,B,E,-0.025501730103806228,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,B,F,0.0041868512110726785,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,C,D,-0.01775086505190311,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,C,E,-0.026522491349480995,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,C,F,0.003442906574394472,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,D,E,-0.021937716262975762,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,D,F,-0.0010899653979239143,16
graph_adjnoun__d6,graph_adjnoun,graph_link_prediction,6,E,F,-0.011089965397923868,16
graph_football__d6,graph_football,graph_link_prediction,6,A,B,-0.06805638178333007,16
graph_football__d6,graph_football,graph_link_prediction,6,A,C,-0.06666005684447092,16
graph_football__d6,graph_football,graph_link_prediction,6,A,D,-0.06846123339282176,16
graph_football__d6,graph_football,graph_link_prediction,6,A,E,-0.012905677837266157,16
graph_football__d6,graph_football,graph_link_prediction,6,A,F,0.0023464868795029722,16
graph_football__d6,graph_football,graph_link_prediction,6,B,C,-0.07212142243373657,16
graph_football__d6,graph_football,graph_link_prediction,6,B,D,-0.07093165443849564,16
graph_football__d6,graph_football,graph_link_prediction,6,B,E,-0.01874710820278929,16
graph_football__d6,graph_football,graph_link_prediction,6,B,F,0.0021316676581399976,16
graph_football__d6,graph_football,graph_link_prediction,6,C,D,-0.07113821138211385,16
graph_football__d6,graph_football,graph_link_prediction,6,C,E,-0.009600766739374676,16
graph_football__d6,graph_football,graph_link_prediction,6,C,F,0.0023630114349924083,16
graph_football__d6,graph_football,graph_link_prediction,6,D,E,-0.008377949633154837,16
graph_football__d6,graph_football,graph_link_prediction,6,D,F,-4.957366646841238e-05,16
graph_football__d6,graph_football,graph_link_prediction,6,E,F,-0.0035032057637649563,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,A,B,-0.03692626953125,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,A,C,-0.04962158203125,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,A,D,-0.04388427734375,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,A,E,-0.01312255859375,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,A,F,-0.00982666015625,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,B,C,-0.03668212890625,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,B,D,-0.03607177734375,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,B,E,-0.02728271484375,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,B,F,-6.103515625e-05,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,C,D,-0.04022216796875,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,C,E,-0.01800537109375,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,C,F,-0.00518798828125,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,D,E,-0.02545166015625,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,D,F,-0.00091552734375,16
graph_dolphins__d6,graph_dolphins,graph_link_prediction,6,E,F,0.00396728515625,16
